"","indication","generic_name","n"
"658","Surgical and medical procedures","sodium_chloride_sodium_gluconate_sodium_acetate_potassium_chloride_and_magnesium_chloride",2
"659","Surgical and medical procedures","thrombin",2
"660","Surgical and medical procedures","tobramycin",2
"661","Vascular System","atenolol",2
"662","Vascular System","captopril",2
"663","Vascular System","isoproterenol",2
"664","Vascular System","magnesium_sulfate",2
"665","Vascular System","metoprolol",2
"666","Vascular System","phenoxybenzamine",2
"667","Vascular System","platelets",2
"668","Vascular System","propranolol",2
"669","Vascular System","zinc_sulfate_monohydrate",2
"670","Blood and lymphatic system  ","albumin",1
"671","Blood and lymphatic system  ","bicarbonate",1
"672","Blood and lymphatic system  ","clonazepam",1
"673","Blood and lymphatic system  ","desmopressin",1
"674","Blood and lymphatic system  ","digoxin",1
"675","Blood and lymphatic system  ","enalapril_maleate",1
"676","Blood and lymphatic system  ","famotidine",1
"677","Blood and lymphatic system  ","ferrous",1
"678","Blood and lymphatic system  ","filgrastim",1
"679","Blood and lymphatic system  ","hydroxyurea",1
"680","Blood and lymphatic system  ","insulin",1
"681","Blood and lymphatic system  ","iron",1
"682","Blood and lymphatic system  ","iron_dextran",1
"683","Blood and lymphatic system  ","miconazole",1
"684","Blood and lymphatic system  ","nortriptyline",1
"685","Blood and lymphatic system  ","plasma",1
"686","Blood and lymphatic system  ","potassium_phosphate",1
"687","Blood and lymphatic system  ","pseudoephedrine",1
"688","Blood and lymphatic system  ","thrombin",1
"689","Cardiac System","acetaminophen_and_hydrocodone",1
"690","Cardiac System","albumin",1
"691","Cardiac System","aminophylline",1
"692","Cardiac System","aspirin",1
"693","Cardiac System","bretylium",1
"694","Cardiac System","captopril",1
"695","Cardiac System","clotrimazole",1
"696","Cardiac System","diazepam",1
"697","Cardiac System","diphenhydramine",1
"698","Cardiac System","dipyridamole",1
"699","Cardiac System","doxazosin",1
"700","Cardiac System","epinephrine_sulfate",1
"701","Cardiac System","indomethacin",1
"702","Cardiac System","lidocaine_and_epinephrine",1
"703","Cardiac System","lorazepam",1
"704","Cardiac System","magnesium",1
"705","Cardiac System","mannitol",1
"706","Cardiac System","metoprolol",1
"707","Cardiac System","metoprolol_hydrochlorothiazide",1
"708","Cardiac System","norepinephrine",1
"709","Cardiac System","sodium_bicarbonate",1
"710","Cardiac System","theophylline",1
"711","Cardiac System","warfarin",1
"712","Ear and labyrinth  ","ampicillin",1
"713","Ear and labyrinth  ","epinephrine",1
"714","Ear and labyrinth  ","lidocaine",1
"715","Ear and labyrinth  ","neomycin",1
"716","Ear and labyrinth  ","tobramycin",1
"717","Endocrine System","insulin",1
"718","Eye  ","fluorometholone",1
"719","Eye  ","metipranolol",1
"720","Eye  ","neomycin_sulfate_polymyxin_B_sulfate_bacitracin_zinc_and_hydrocortisone",1
"721","Eye  ","phenylephrine",1
"722","Gastrointestinal System","acetic_acid_and_hydrocortisone",1
"723","Gastrointestinal System","albumin",1
"724","Gastrointestinal System","bacitracin",1
"725","Gastrointestinal System","belladonna_alkaloids_and_phenobarbital",1
"726","Gastrointestinal System","benzquinamide_hydrochloride",1
"727","Gastrointestinal System","bethanechol",1
"728","Gastrointestinal System","capsaicin",1
"729","Gastrointestinal System","cefazolin",1
"730","Gastrointestinal System","ciprofloxacin",1
"731","Gastrointestinal System","clotrimazole",1
"732","Gastrointestinal System","dexamethasone",1
"733","Gastrointestinal System","dextrose",1
"734","Gastrointestinal System","digoxin",1
"735","Gastrointestinal System","epinephrine",1
"736","Gastrointestinal System","fentanyl",1
"737","Gastrointestinal System","fluconazole",1
"738","Gastrointestinal System","fludrocortisone",1
"739","Gastrointestinal System","glycerin",1
"740","Gastrointestinal System","guaifenesin_phenylephrine",1
"741","Gastrointestinal System","hetastarch",1
"742","Gastrointestinal System","hydrocortisone",1
"743","Gastrointestinal System","lactase",1
"744","Gastrointestinal System","lidocaine",1
"745","Gastrointestinal System","magnesium_oxide",1
"746","Gastrointestinal System","meperidine",1
"747","Gastrointestinal System","multivitamin_and_supplements",1
"748","Gastrointestinal System","nalbuphine",1
"749","Gastrointestinal System","nicotine",1
"750","Gastrointestinal System","nitroglycerin",1
"751","Gastrointestinal System","nystatin",1
"752","Gastrointestinal System","octreotide",1
"753","Gastrointestinal System","phosphate",1
"754","Gastrointestinal System","polyethylene_glycol_electrolyte_solution",1
"755","Gastrointestinal System","potassium_acetate",1
"756","Gastrointestinal System","potassium_permanganate",1
"757","Gastrointestinal System","potassium_phosphate",1
"758","Gastrointestinal System","prochlorperazine_maleate",1
"759","Gastrointestinal System","propantheline",1
"760","Gastrointestinal System","scopolamine",1
"761","Gastrointestinal System","senna",1
"762","Gastrointestinal System","sodium_phosphates",1
"763","Gastrointestinal System","sodium_polystyrene_sulfonate",1
"764","Gastrointestinal System","sulfamethoxazole",1
"765","Gastrointestinal System","tobramycin",1
"766","Gastrointestinal System","trimethoprim",1
"767","Gastrointestinal System","vitamin_a_and_d",1
"768","General Disorders","acetaminophen_and_hydrocodone",1
"769","General Disorders","albumin",1
"770","General Disorders","amikacin",1
"771","General Disorders","amitriptyline",1
"772","General Disorders","cefuroxime",1
"773","General Disorders","cephalexin",1
"774","General Disorders","chloramphenicol",1
"775","General Disorders","chlorhexidine",1
"776","General Disorders","chlorpromazine",1
"777","General Disorders","choline_magnesium_trisalicylate",1
"778","General Disorders","cimetidine",1
"779","General Disorders","dicloxacillin",1
"780","General Disorders","erythromycin",1
"781","General Disorders","etomidate",1
"782","General Disorders","fentanyl",1
"783","General Disorders","hydrocortisone",1
"784","General Disorders","hydroxyzine",1
"785","General Disorders","ipratropium",1
"786","General Disorders","mecamylamine",1
"787","General Disorders","meperidine",1
"788","General Disorders","methylprednisolone",1
"789","General Disorders","oxacillin",1
"790","General Disorders","penicillin",1
"791","General Disorders","piroxicam",1
"792","General Disorders","propoxyphene",1
"793","General Disorders","sodium_chloride",1
"794","Immune system  ","acetazolamide",1
"795","Immune system  ","astemizole",1
"796","Immune system  ","cimetidine",1
"797","Immune system  ","hydrocortisone",1
"798","Immune system  ","hydroxyzine",1
"799","Immune system  ","methylprednisolone_sodium_succinate",1
"800","Immune system  ","prednisone",1
"801","Immune system  ","ranitidine",1
"802","Infections and infestations","acetazolamide",1
"803","Infections and infestations","alcohol",1
"804","Infections and infestations","aluminum_magnesium",1
"805","Infections and infestations","amitriptyline",1
"806","Infections and infestations","antipyrine_benzocaine_otic",1
"807","Infections and infestations","antipyrine_benzocaine_u-polycosanol",1
"808","Infections and infestations","atropine",1
"809","Infections and infestations","betamethasone_and_clotrimazole",1
"810","Infections and infestations","bismuth_subsalicylate",1
"811","Infections and infestations","brompheniramine_pseudoephedrine",1
"812","Infections and infestations","cefpodoxime",1
"813","Infections and infestations","chlordiazepoxide",1
"814","Infections and infestations","chlorhexidine",1
"815","Infections and infestations","corticosteroids",1
"816","Infections and infestations","diptheria_pertussis_and_tetanus_vaccine",1
"817","Infections and infestations","epinephrine",1
"818","Infections and infestations","etomidate",1
"819","Infections and infestations","fentanyl",1
"820","Infections and infestations","fluoxetine",1
"821","Infections and infestations","guaifenesin",1
"822","Infections and infestations","ketorolac",1
"823","Infections and infestations","lidocaine",1
"824","Infections and infestations","meropenem",1
"825","Infections and infestations","methenamine",1
"826","Infections and infestations","methylprednisolone_sodium_succinate",1
"827","Infections and infestations","midazolam",1
"828","Infections and infestations","morphine",1
"829","Infections and infestations","nabumetone",1
"830","Infections and infestations","neostigmine",1
"831","Infections and infestations","nystatin_triamcinolone",1
"832","Infections and infestations","oxymetazoline",1
"833","Infections and infestations","pancrelipase",1
"834","Infections and infestations","pancuronium_bromide",1
"835","Infections and infestations","permethrin",1
"836","Infections and infestations","potassium_chloride",1
"837","Infections and infestations","povidone_iodine",1
"838","Infections and infestations","prednisolone_acetate",1
"839","Infections and infestations","promazine",1
"840","Infections and infestations","ranitidine",1
"841","Infections and infestations","scopolamine",1
"842","Infections and infestations","sodium_chloride",1
"843","Infections and infestations","sulfacetamide",1
"844","Infections and infestations","sulindac",1
"845","Infections and infestations","tobramycin_and_dexamethasone",1
"846","Infections and infestations","tolnaftate",1
"847","Infections and infestations","tolterodine",1
"848","Metabolism and nutrition  ","aluminum_hydroxide",1
"849","Metabolism and nutrition  ","aluminum_magnesium_simethicone",1
"850","Metabolism and nutrition  ","amino_acids",1
"851","Metabolism and nutrition  ","bisacodyl",1
"852","Metabolism and nutrition  ","calcium_carbide",1
"853","Metabolism and nutrition  ","calcium_carbonate_and_magnesium_chloride",1
"854","Metabolism and nutrition  ","calcium_citrate",1
"855","Metabolism and nutrition  ","calcium_gluconate_and_sodium_phosphates",1
"856","Metabolism and nutrition  ","carbonic_acid",1
"857","Metabolism and nutrition  ","cimetidine",1
"858","Metabolism and nutrition  ","cisatracurium",1
"859","Metabolism and nutrition  ","desmopressin",1
"860","Metabolism and nutrition  ","dimenhydrinate",1
"861","Metabolism and nutrition  ","fludrocortisone",1
"862","Metabolism and nutrition  ","fluoxetine",1
"863","Metabolism and nutrition  ","glipizide",1
"864","Metabolism and nutrition  ","glucose",1
"865","Metabolism and nutrition  ","ipratropium",1
"866","Metabolism and nutrition  ","isoflurane",1
"867","Metabolism and nutrition  ","kcl",1
"868","Metabolism and nutrition  ","lactase",1
"869","Metabolism and nutrition  ","lactobacillus",1
"870","Metabolism and nutrition  ","lactulose",1
"871","Metabolism and nutrition  ","megestrol",1
"872","Metabolism and nutrition  ","methylphenidate",1
"873","Metabolism and nutrition  ","pamidronate",1
"874","Metabolism and nutrition  ","ranitidine",1
"875","Metabolism and nutrition  ","selenium",1
"876","Metabolism and nutrition  ","sodium_biphosphate_and_sodium_phosphates",1
"877","Metabolism and nutrition  ","sodium_phosphatess",1
"878","Metabolism and nutrition  ","sucralfate",1
"879","Metabolism and nutrition  ","tolbutamide",1
"880","Metabolism and nutrition  ","vancomycin",1
"881","Metabolism and nutrition  ","vitamin_B",1
"882","Metabolism and nutrition  ","vitamin_D3",1
"883","Musculoskeletal System","alendronate",1
"884","Musculoskeletal System","dantrolene",1
"885","Musculoskeletal System","diazepam",1
"886","Musculoskeletal System","naproxen",1
"887","Musculoskeletal System","pancuronium_bromide",1
"888","Musculoskeletal System","prazosin",1
"889","Musculoskeletal System","quinine_sulfate",1
"890","Neoplasms","allopurinol",1
"891","Neoplasms","hydroxyurea",1
"892","Nervous system  ","acetaminophen_and_methocarbamol",1
"893","Nervous system  ","acetaminophen_and_oxycodone",1
"894","Nervous system  ","belladonna_alkaloids_opium",1
"895","Nervous system  ","calcium_gluceptate",1
"896","Nervous system  ","capsaicin",1
"897","Nervous system  ","cefamandole",1
"898","Nervous system  ","chlorzoxazone",1
"899","Nervous system  ","choline_magnesium_trisalicylate",1
"900","Nervous system  ","desipramine",1
"901","Nervous system  ","divalproex_sodium",1
"902","Nervous system  ","etidronate",1
"903","Nervous system  ","famotidine",1
"904","Nervous system  ","fludrocortisone",1
"905","Nervous system  ","haloperidol",1
"906","Nervous system  ","ibuprofen",1
"907","Nervous system  ","insulin",1
"908","Nervous system  ","ketorolac",1
"909","Nervous system  ","magnesium_sulfate",1
"910","Nervous system  ","methylprednisolone_sodium_succinate",1
"911","Nervous system  ","morphine",1
"912","Nervous system  ","naproxen",1
"913","Nervous system  ","nifedipine",1
"914","Nervous system  ","phenazopyridine",1
"915","Nervous system  ","phenoxybenzamine",1
"916","Nervous system  ","phenylephrine",1
"917","Nervous system  ","potassium_iodide",1
"918","Nervous system  ","terazosin",1
"919","Nervous system  ","tramadol",1
"920","Nervous system  ","xylometazoline_HCl",1
"921","Pain","bacitracin",1
"922","Pain","carbamide_peroxide",1
"923","Pain","cocaine",1
"924","Pain","codeine_phosphate",1
"925","Pain","codeine_sulfate",1
"926","Pain","desipramine",1
"927","Pain","dexamethasone",1
"928","Pain","enalapril_maleate",1
"929","Pain","etodolac",1
"930","Pain","fludrocortisone",1
"931","Pain","gentamicin",1
"932","Pain","haloperidol",1
"933","Pain","meperidine_and_hydroxyzine",1
"934","Pain","methadone_and_acetaminophen",1
"935","Pain","methylprednisolone",1
"936","Pain","metoclopramide",1
"937","Pain","morphine_sulfate",1
"938","Pain","nalbuphine",1
"939","Pain","neomycin_sulfate_polymyxin_B_sulfate_bacitracin_zinc_and_hydrocortisone",1
"940","Pain","norfloxacin",1
"941","Pain","omeprazole",1
"942","Pain","oxaprozin",1
"943","Pain","pentobarbital",1
"944","Pain","phenobarbital",1
"945","Pain","potassium_chloride",1
"946","Pain","trazodone",1
"947","Pain","triazolam",1
"948","Pain","triethanolamine_polypeptide_oleate",1
"949","Psychiatric Disorders","acetaminophen_and_hydrocodone",1
"950","Psychiatric Disorders","benztropine",1
"951","Psychiatric Disorders","bisacodyl",1
"952","Psychiatric Disorders","bupropion",1
"953","Psychiatric Disorders","butamben_tetracaine_benzocaine",1
"954","Psychiatric Disorders","clonidine",1
"955","Psychiatric Disorders","dextromethorphan_guaifenesin_and_pseudoephedrine",1
"956","Psychiatric Disorders","dimenhydrinate",1
"957","Psychiatric Disorders","ethanol",1
"958","Psychiatric Disorders","fluphenazine",1
"959","Psychiatric Disorders","imipenem",1
"960","Psychiatric Disorders","imipramine_pamoate",1
"961","Psychiatric Disorders","levomepromazine",1
"962","Psychiatric Disorders","lithium",1
"963","Psychiatric Disorders","methocarbamol",1
"964","Psychiatric Disorders","naloxone",1
"965","Psychiatric Disorders","nefazodone",1
"966","Psychiatric Disorders","neostigmine",1
"967","Psychiatric Disorders","risperidone",1
"968","Psychiatric Disorders","trifluoperazine_",1
"969","Psychiatric Disorders","vitamin_B1",1
"970","Renal and urinary system  ","acetazolamide",1
"971","Renal and urinary system  ","aminocaproic_acid",1
"972","Renal and urinary system  ","amitriptyline",1
"973","Renal and urinary system  ","amphotericin_B",1
"974","Renal and urinary system  ","cefazolin",1
"975","Renal and urinary system  ","chlorothiazide",1
"976","Renal and urinary system  ","desmopressin",1
"977","Renal and urinary system  ","gentamicin",1
"978","Renal and urinary system  ","hetastarch",1
"979","Renal and urinary system  ","levodopa",1
"980","Renal and urinary system  ","metoclopramide",1
"981","Renal and urinary system  ","mezlocillin",1
"982","Renal and urinary system  ","neostigmine",1
"983","Renal and urinary system  ","propantheline",1
"984","Renal and urinary system  ","sennosides",1
"985","Renal and urinary system  ","sodium_bicarbonate",1
"986","Renal and urinary system  ","tolterodine",1
"987","Reproductive system and breast  ","progesterone",1
"988","Respiratory System","albumin",1
"989","Respiratory System","ammonium_chloride",1
"990","Respiratory System","baclofen",1
"991","Respiratory System","bicarbonate",1
"992","Respiratory System","brompheniramine_dextromethorphan_and_pseudoephedrine",1
"993","Respiratory System","cefaclor",1
"994","Respiratory System","cefazolin",1
"995","Respiratory System","cefotetan",1
"996","Respiratory System","ceftriaxone",1
"997","Respiratory System","cephalexin",1
"998","Respiratory System","chlorpheniramine_methscopolamine_phenylephrine",1
"999","Respiratory System","clarithromycin",1
"1000","Respiratory System","cromolyn_sodium",1
"1001","Respiratory System","diazepam",1
"1002","Respiratory System","dornase_alfa",1
"1003","Respiratory System","erythromycin",1
"1004","Respiratory System","fluconazole",1
"1005","Respiratory System","guaifenesin_and_theophylline",1
"1006","Respiratory System","haloperidol",1
"1007","Respiratory System","isoflurane",1
"1008","Respiratory System","methylprednisolone_sodium_succinate",1
"1009","Respiratory System","metoclopramide",1
"1010","Respiratory System","metocurine_iodide",1
"1011","Respiratory System","metolazone",1
"1012","Respiratory System","mezlocillin",1
"1013","Respiratory System","naloxone",1
"1014","Respiratory System","nitroglycerin",1
"1015","Respiratory System","norfloxacin",1
"1016","Respiratory System","oxymetazoline",1
"1017","Respiratory System","phenylpropanolamine",1
"1018","Respiratory System","pirbuterol",1
"1019","Respiratory System","prochlorperazine",1
"1020","Respiratory System","rifampin",1
"1021","Respiratory System","salmeterol_",1
"1022","Respiratory System","sodium_bicarbonate",1
"1023","Respiratory System","sulfamethoxazole",1
"1024","Respiratory System","trimethoprim",1
"1025","Respiratory System","xylometazoline_HCl",1
"1026","Skin and subcutaneous tissue  ","aluminum_magnesium",1
"1027","Skin and subcutaneous tissue  ","ammonium_lactate",1
"1028","Skin and subcutaneous tissue  ","ampicillin_and_sulbactam",1
"1029","Skin and subcutaneous tissue  ","cefotaxime",1
"1030","Skin and subcutaneous tissue  ","ceftazidime",1
"1031","Skin and subcutaneous tissue  ","chlorhexidine_gluconate",1
"1032","Skin and subcutaneous tissue  ","desipramine",1
"1033","Skin and subcutaneous tissue  ","dexamethasone",1
"1034","Skin and subcutaneous tissue  ","dicloxacillin",1
"1035","Skin and subcutaneous tissue  ","fluconazole",1
"1036","Skin and subcutaneous tissue  ","fusidic_acid",1
"1037","Skin and subcutaneous tissue  ","gentamicin",1
"1038","Skin and subcutaneous tissue  ","griseofulvin",1
"1039","Skin and subcutaneous tissue  ","hydrogen_peroxide",1
"1040","Skin and subcutaneous tissue  ","lidocaine",1
"1041","Skin and subcutaneous tissue  ","lindane",1
"1042","Skin and subcutaneous tissue  ","mafenide",1
"1043","Skin and subcutaneous tissue  ","merbromin",1
"1044","Skin and subcutaneous tissue  ","mineral_oil",1
"1045","Skin and subcutaneous tissue  ","minoxidil",1
"1046","Skin and subcutaneous tissue  ","mupirocin",1
"1047","Skin and subcutaneous tissue  ","pancuronium_bromide",1
"1048","Skin and subcutaneous tissue  ","penicillin",1
"1049","Skin and subcutaneous tissue  ","podofilox",1
"1050","Skin and subcutaneous tissue  ","potassium_chloride",1
"1051","Skin and subcutaneous tissue  ","potassium_permanganate",1
"1052","Skin and subcutaneous tissue  ","salicylic_acid",1
"1053","Skin and subcutaneous tissue  ","saline",1
"1054","Skin and subcutaneous tissue  ","selenium_sulfide",1
"1055","Skin and subcutaneous tissue  ","sodium_chloride",1
"1056","Skin and subcutaneous tissue  ","sulfacetamide_sodium_and_urea",1
"1057","Skin and subcutaneous tissue  ","terbinafine_hydrochloride",1
"1058","Skin and subcutaneous tissue  ","terconazole",1
"1059","Skin and subcutaneous tissue  ","tobramycin_and_dexamethasone",1
"1060","Skin and subcutaneous tissue  ","vitamin_C",1
"1061","Skin and subcutaneous tissue  ","zinc_sulfate_monohydrate",1
"1062","Surgical and medical procedures","acetaminophen_and_oxycodone",1
"1063","Surgical and medical procedures","albuterol",1
"1064","Surgical and medical procedures","amikacin",1
"1065","Surgical and medical procedures","ampicillin_and_sulbactam",1
"1066","Surgical and medical procedures","benzocaine",1
"1067","Surgical and medical procedures","benzocaine_menthol",1
"1068","Surgical and medical procedures","benzoyl_peroxide",1
"1069","Surgical and medical procedures","butorphanol_tartrate",1
"1070","Surgical and medical procedures","cephalexin",1
"1071","Surgical and medical procedures","cimetidine",1
"1072","Surgical and medical procedures","ciprofloxacin",1
"1073","Surgical and medical procedures","cisapride",1
"1074","Surgical and medical procedures","clonazepam",1
"1075","Surgical and medical procedures","dezocine",1
"1076","Surgical and medical procedures","diatrizoate_meglumine_and_diatrizoate_sodium",1
"1077","Surgical and medical procedures","dibucaine",1
"1078","Surgical and medical procedures","enoxaparin",1
"1079","Surgical and medical procedures","epinephrine_sulfate",1
"1080","Surgical and medical procedures","etidronate",1
"1081","Surgical and medical procedures","fluconazole",1
"1082","Surgical and medical procedures","flurazepam",1
"1083","Surgical and medical procedures","gelatin",1
"1084","Surgical and medical procedures","glucagon",1
"1085","Surgical and medical procedures","hydralazine",1
"1086","Surgical and medical procedures","hydromorphone",1
"1087","Surgical and medical procedures","iohexol",1
"1088","Surgical and medical procedures","kcl",1
"1089","Surgical and medical procedures","ketorolac",1
"1090","Surgical and medical procedures","levodopa",1
"1091","Surgical and medical procedures","magnesium_citrate",1
"1092","Surgical and medical procedures","magnesium_sulfate",1
"1093","Surgical and medical procedures","mannitol",1
"1094","Surgical and medical procedures","metacyclin",1
"1095","Surgical and medical procedures","metronidazole",1
"1096","Surgical and medical procedures","metubine",1
"1097","Surgical and medical procedures","mivacurium_chloride",1
"1098","Surgical and medical procedures","ofloxacin",1
"1099","Surgical and medical procedures","oxacillin",1
"1100","Surgical and medical procedures","pentobarbital",1
"1101","Surgical and medical procedures","piperacillin",1
"1102","Surgical and medical procedures","platelets",1
"1103","Surgical and medical procedures","polyethylene_glycol_electrolyte_solution",1
"1104","Surgical and medical procedures","povidone_iodine",1
"1105","Surgical and medical procedures","prilocaine",1
"1106","Surgical and medical procedures","sevoflurane",1
"1107","Surgical and medical procedures","sodium_bicarbonate",1
"1108","Surgical and medical procedures","sodium_chloride",1
"1109","Surgical and medical procedures","sulfamethoxazole",1
"1110","Surgical and medical procedures","tetracycline",1
"1111","Surgical and medical procedures","trimethoprim",1
"1112","Surgical and medical procedures","urokinase",1
"1113","Surgical and medical procedures","vitamin_B",1
"1114","Vascular System","amlodipine",1
"1115","Vascular System","ciprofloxacin",1
"1116","Vascular System","dalteparin",1
"1117","Vascular System","desmopressin",1
"1118","Vascular System","dexamethasone",1
"1119","Vascular System","diltiazem",1
"1120","Vascular System","enalapril",1
"1121","Vascular System","enalapril_maleate",1
"1122","Vascular System","esmolol",1
"1123","Vascular System","fluconazole",1
"1124","Vascular System","hydroxyzine",1
"1125","Vascular System","insulin",1
"1126","Vascular System","lidocaine",1
"1127","Vascular System","lisinopril",1
"1128","Vascular System","metolazone",1
"1129","Vascular System","metoprolol_hydrochlorothiazide",1
"1130","Vascular System","midazolam",1
"1131","Vascular System","morphine",1
"1132","Vascular System","nizatidine",1
"1133","Vascular System","nortriptyline",1
"1134","Vascular System","plasma",1
"1135","Vascular System","potassium",1
"1136","Vascular System","potassium_phosphate",1
"1137","Vascular System","pramoxine_phenylephrine_glycerin_petrolatum",1
"1138","Vascular System","quinapril",1
"1139","Vascular System","sodium_bicarbonate",1
"1140","Vascular System","urea",1
"1141","Vascular System","vasopressin",1
"1142","Vascular System","vitamin_K",1
